onet_soc_code,soc_code,occupation_title,occupation_description,a_median,tot_emp,median_wage_percentile,employment_percentile,labor_market_opportunity_score,interest_realistic,interest_investigative,interest_artistic,interest_social,interest_enterprising,interest_conventional,job_zone,education_expected_category,education_bachelors_or_higher_pct,essential_skill_active_learning_im,essential_skill_active_listening_im,essential_skill_critical_thinking_im,essential_skill_mathematics_im,essential_skill_reading_comprehension_im,essential_skill_science_im,essential_skill_speaking_im,essential_skill_writing_im,transferable_skill_complex_problem_solving_im,transferable_skill_coordination_im,transferable_skill_instructing_im,transferable_skill_judgment_and_decision_making_im,transferable_skill_management_of_financial_resources_im,transferable_skill_management_of_material_resources_im,transferable_skill_management_of_personnel_resources_im,transferable_skill_negotiation_im,transferable_skill_operation_and_control_im,transferable_skill_operations_analysis_im,transferable_skill_operations_monitoring_im,transferable_skill_persuasion_im,transferable_skill_programming_im,transferable_skill_quality_control_analysis_im,transferable_skill_repairing_im,transferable_skill_service_orientation_im,transferable_skill_social_perceptiveness_im,transferable_skill_systems_analysis_im,transferable_skill_systems_evaluation_im,transferable_skill_technology_design_im,transferable_skill_time_management_im,transferable_skill_troubleshooting_im
11-3031.03,11-3031,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",166570.0,841710.0,0.9560669456066946,0.946930280957336,0.9514986132820152,1.48,3.77,1.65,2.69,6.95,5.21,5.0,7.407159284071593,100.01,3.75,4.0,4.0,3.38,4.0,1.0,3.88,3.62,3.75,3.12,3.0,3.88,2.75,2.25,2.88,3.0,1.0,2.0,1.88,3.12,1.75,1.5,1.0,2.88,3.0,3.38,3.25,1.88,3.25,1.0
11-3051.00,11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,4.0,2.92,1.4,1.85,6.03,5.21,4.0,3.811781178117813,29.49,3.62,3.88,4.0,3.38,3.88,1.62,4.0,3.38,3.62,4.0,3.12,4.0,3.38,3.25,3.88,3.25,2.75,2.88,3.12,3.12,1.62,3.12,2.12,3.0,3.5,3.75,3.38,1.62,3.88,2.25
11-3051.01,11-3051,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,3.58,4.12,1.28,2.07,5.09,5.42,4.0,6.0,100.0,3.62,3.88,3.75,3.12,4.0,2.25,3.88,3.88,3.75,3.75,3.25,4.0,2.75,2.75,3.25,3.0,2.88,2.75,3.25,3.25,1.88,4.0,1.75,3.0,3.25,3.62,3.75,2.12,3.5,2.75
11-3051.02,11-3051,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,5.35,3.35,1.0,2.07,4.58,4.82,3.0,4.057005700570056,19.6,3.5,3.62,4.0,3.25,3.88,2.38,3.88,3.62,3.62,3.75,3.25,3.75,3.25,3.12,3.62,3.0,2.88,2.0,3.25,3.0,1.88,3.12,2.75,2.88,3.5,3.25,3.25,2.0,3.62,2.88
11-3051.03,11-3051,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,4.59,3.74,1.0,1.83,5.41,5.06,4.0,4.9751,52.04,3.25,3.75,3.88,3.0,3.88,3.0,3.62,3.5,3.38,3.62,3.25,3.5,3.0,2.75,3.88,3.0,3.12,2.12,3.0,3.12,2.12,2.62,1.12,3.25,3.38,3.25,3.0,1.88,3.5,2.25
11-3051.04,11-3051,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,5.12,3.19,1.0,1.72,4.86,5.34,4.0,5.1279,61.49,3.12,3.88,4.0,3.0,3.88,2.5,4.0,3.12,3.75,3.75,3.25,3.75,3.12,3.12,3.75,2.88,3.0,2.12,3.38,3.0,1.62,3.12,2.25,2.75,3.25,3.12,3.12,1.62,3.62,3.0
11-3051.06,11-3051,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,126060.0,246250.0,0.9042887029288704,0.7986472424557752,0.8514679726923228,5.37,3.64,1.0,1.83,4.57,5.02,3.0,4.165716571657166,22.09,3.62,4.12,3.75,3.25,3.88,3.25,4.12,3.5,3.62,3.5,3.38,3.88,3.0,3.0,3.75,3.25,3.25,2.12,3.38,3.38,2.12,3.25,2.38,3.38,3.25,3.38,3.38,1.88,3.75,2.75
11-3061.00,11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",148080.0,84320.0,0.9461297071129708,0.5983350676378772,0.772232387375424,2.49,1.77,1.2,2.7,7.0,5.98,4.0,5.316,63.16,3.25,4.0,3.75,3.12,3.88,1.0,4.0,3.88,3.5,3.75,3.38,3.75,3.25,3.25,4.0,3.88,1.0,2.62,2.0,3.62,1.88,2.12,1.0,3.5,3.88,3.5,3.12,1.88,3.88,2.0
11-3071.00,11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",107230.0,221180.0,0.8404811715481172,0.7861602497398543,0.8133207106439857,3.6,2.64,1.0,2.39,5.99,5.74,4.0,,,3.62,3.88,3.62,2.75,3.88,1.0,3.62,3.62,3.62,3.75,3.62,3.5,2.88,3.0,3.38,3.62,1.88,2.12,2.62,3.5,1.75,2.5,1.0,3.25,3.25,3.62,3.5,1.75,3.62,1.88
11-3071.04,11-3071,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",107230.0,221180.0,0.8404811715481172,0.7861602497398543,0.8133207106439857,3.39,2.46,1.0,2.04,6.24,5.25,4.0,6.4286,95.24,3.75,4.0,3.88,3.0,4.0,1.12,4.0,3.88,3.88,4.0,3.12,4.0,2.88,3.75,3.25,3.75,1.0,2.5,2.25,3.62,1.62,2.0,1.0,3.12,3.75,3.75,3.88,2.12,4.0,1.62
11-3111.00,11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",149230.0,22940.0,0.948744769874477,0.3329864724245577,0.6408656211495174,1.0,2.18,1.41,3.81,7.0,5.66,4.0,6.381,100.0,3.75,4.0,3.88,3.0,4.0,1.0,4.0,4.0,3.38,3.12,3.0,3.88,3.25,1.88,3.62,3.12,1.0,2.75,1.5,3.0,1.75,1.5,1.0,3.12,3.5,3.25,3.25,1.5,3.62,1.0
11-3121.00,11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",149280.0,220660.0,0.9497907949790796,0.7845993756503642,0.8671950853147219,1.26,2.31,1.5,3.88,7.0,5.54,4.0,6.045395460453954,95.46,4.0,4.38,4.0,3.0,4.25,1.5,4.25,4.12,4.0,4.12,3.88,4.0,3.12,2.38,4.25,3.88,1.25,2.38,1.5,3.75,2.0,1.62,1.0,3.75,4.0,3.62,3.88,1.5,4.0,1.0
11-3131.00,11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",133000.0,48050.0,0.9184100418410042,0.4838709677419355,0.7011405047914698,1.9,3.04,2.57,5.54,6.35,4.04,4.0,6.5,100.0,3.75,4.0,3.75,2.88,4.0,1.5,4.0,3.88,3.62,3.88,4.0,3.62,3.62,2.88,3.5,3.0,1.0,3.0,1.75,3.62,1.5,2.0,1.0,3.62,3.88,3.12,3.25,1.75,3.5,1.0
11-9013.00,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",89900.0,6500.0,0.7196652719665272,0.100936524453694,0.4103008982101106,5.16,2.74,1.06,2.63,5.52,4.53,4.0,,,3.38,3.88,3.88,2.88,3.75,2.62,3.62,3.25,3.62,3.5,2.88,3.5,3.0,2.88,3.62,3.12,2.62,2.12,3.12,3.12,1.88,2.88,2.38,2.88,3.38,3.0,3.0,1.88,3.38,2.5
11-9021.00,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",114990.0,380360.0,0.856694560669456,0.8605619146722164,0.8586282376708363,4.68,3.18,1.7,2.35,5.73,4.8,4.0,4.5,45.0,3.88,4.0,4.0,3.5,3.88,2.12,3.88,3.75,4.0,4.0,3.12,4.12,3.62,3.38,4.12,3.88,2.0,3.0,2.75,3.12,1.5,3.25,1.62,3.12,3.5,3.62,3.5,1.75,4.0,2.25
11-9031.00,11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",59300.0,73660.0,0.4163179916317991,0.5723204994797086,0.4943192455557539,1.2,2.9,2.78,6.46,4.85,4.53,4.0,4.1392,16.52,3.5,4.0,4.0,2.88,4.0,1.5,4.0,3.75,3.88,4.0,3.88,3.88,3.12,3.12,3.75,3.62,1.5,1.88,1.75,3.38,1.5,2.0,1.0,3.88,3.88,3.12,3.12,1.62,3.75,1.88
11-9032.00,11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",105870.0,328330.0,0.8315899581589958,0.8366285119667014,0.8341092350628486,1.31,3.06,2.84,5.72,5.34,4.68,5.0,7.6813,100.0,4.0,4.75,4.5,3.0,4.5,1.88,4.88,4.5,4.12,4.0,4.0,4.62,3.62,3.25,4.12,4.0,1.38,2.75,2.0,3.75,1.62,3.0,1.0,3.88,4.25,3.75,4.12,1.75,3.88,1.62
11-9033.00,11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",104590.0,180470.0,0.8200836820083682,0.7575442247658689,0.7888139533871186,1.0,3.83,2.81,5.64,5.3,4.91,5.0,9.2528,100.0,3.88,4.0,4.12,2.88,4.12,1.5,4.0,4.0,3.88,3.62,4.0,3.88,3.12,2.88,3.75,3.62,1.0,1.62,2.0,3.62,1.38,1.38,1.0,3.5,3.75,3.25,3.25,1.62,4.0,1.0
11-9039.00,11-9039,"Education Administrators, All Other",All education administrators not listed separately.,95200.0,55130.0,0.7468619246861925,0.5078043704474505,0.6273331475668216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-9041.00,11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",171270.0,220260.0,0.9639121338912134,0.7830385015608741,0.8734753177260437,2.99,4.56,2.64,2.95,6.4,4.43,5.0,7.43965603439656,98.86,3.88,4.0,3.88,3.88,4.12,2.62,4.0,4.0,4.0,3.75,3.25,3.88,2.88,2.88,3.25,3.12,1.5,2.38,2.5,3.12,1.88,3.0,1.0,3.25,3.5,3.12,3.0,1.88,3.88,2.0
11-9041.01,11-9041,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",171270.0,220260.0,0.9639121338912134,0.7830385015608741,0.8734753177260437,4.16,5.84,2.11,2.1,4.7,3.51,4.0,6.482696539307861,88.06,3.25,3.5,3.62,3.12,3.62,3.12,3.62,3.62,3.62,3.25,3.0,3.62,2.0,2.0,3.12,2.88,2.25,2.38,3.0,3.0,2.0,3.12,1.75,2.88,2.88,3.62,3.5,2.12,3.25,2.0
11-9051.00,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",69390.0,238430.0,0.5407949790794979,0.7950052029136316,0.6679000909965648,4.16,1.96,1.63,3.53,5.97,5.06,2.0,3.089308930893089,9.73,3.12,3.88,3.62,2.88,3.75,1.62,3.88,3.0,3.0,3.88,3.12,3.12,3.0,3.0,3.88,3.12,2.0,2.5,2.62,3.0,1.5,2.88,1.75,3.75,3.62,3.0,3.0,1.25,3.5,2.0
11-9071.00,11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",93220.0,5030.0,0.7364016736401674,0.0780437044745057,0.4072226890573365,2.8,1.35,1.09,2.86,6.74,5.46,2.0,2.9372000000000003,6.74,3.5,3.75,4.0,3.12,3.5,1.62,3.88,3.62,3.75,3.75,3.5,3.75,2.62,2.75,4.0,3.25,1.38,2.0,2.12,3.5,1.75,2.62,1.0,3.75,3.75,3.12,3.12,1.5,3.75,1.75
11-9072.00,11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",79520.0,37980.0,0.6548117154811716,0.4432882414151925,0.549049978448182,3.35,1.96,1.98,3.93,6.25,5.04,4.0,5.490350964903509,59.47,3.38,3.88,3.75,2.38,3.75,1.25,3.88,3.62,3.25,3.75,3.5,3.62,2.88,2.75,3.12,3.12,1.62,1.88,2.12,3.12,1.25,2.0,1.0,3.75,3.75,2.75,3.12,1.38,3.5,1.5
11-9081.00,11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",69250.0,42620.0,0.5387029288702929,0.4630593132154006,0.5008811210428468,2.69,1.1,1.43,4.31,6.21,5.22,4.0,4.889811018898111,71.6,3.75,4.12,3.75,2.62,3.88,1.0,4.0,3.88,3.75,3.88,3.75,3.75,2.88,3.0,4.0,3.88,2.12,1.75,2.38,3.75,1.62,2.62,1.38,4.12,4.0,3.12,3.38,1.88,3.75,1.88
11-9111.00,11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",123860.0,597080.0,0.8943514644351465,0.9157127991675338,0.90503213180134,2.05,3.75,1.45,4.4,5.95,5.17,4.0,6.2501250125012495,75.0,3.88,4.0,4.12,2.75,4.0,2.5,4.12,4.0,4.0,3.88,3.88,4.0,3.25,3.25,4.0,3.88,1.0,3.62,2.0,3.88,2.0,2.12,1.0,3.75,4.0,3.62,3.75,2.0,4.0,1.62
11-9121.00,11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",167220.0,108690.0,0.9602510460251046,0.6472424557752341,0.8037467509001693,2.74,5.87,2.44,3.09,5.6,4.22,5.0,8.534153415341533,92.7,3.5,4.0,4.0,3.12,4.0,4.12,3.88,3.88,3.88,3.38,3.25,3.75,2.62,2.75,3.62,3.12,2.0,3.25,2.12,3.25,1.88,2.12,1.0,3.0,3.38,3.25,3.12,2.62,3.12,1.88
11-9121.01,11-9121,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",167220.0,108690.0,0.9602510460251046,0.6472424557752341,0.8037467509001693,1.58,5.9,1.76,3.58,4.31,4.81,4.0,5.2875,66.23,3.38,4.0,3.75,2.88,4.0,3.0,3.88,4.0,3.62,3.88,3.12,3.62,2.38,2.75,3.5,2.88,1.12,1.62,1.75,3.0,1.62,1.75,1.0,3.0,3.62,2.88,2.88,1.62,3.5,1.38
11-9121.02,11-9121,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",167220.0,108690.0,0.9602510460251046,0.6472424557752341,0.8037467509001693,4.45,5.8,1.78,2.58,3.53,4.17,4.0,7.0,100.0,3.25,4.0,4.0,3.25,4.0,3.0,4.0,4.0,3.75,3.25,3.0,3.88,2.12,2.12,2.75,3.0,2.12,2.88,2.88,3.12,1.88,3.0,1.0,3.0,3.0,3.62,3.62,1.88,3.88,2.0
11-9131.00,11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",96660.0,13810.0,0.7552301255230126,0.2154006243496358,0.4853153749363242,2.14,1.3,1.17,3.35,6.0,5.69,2.0,3.026702670267026,13.44,3.25,4.0,3.75,2.75,4.0,1.5,4.0,3.25,3.12,4.0,3.25,3.25,2.75,2.75,3.88,3.62,1.62,2.5,2.5,3.25,1.75,2.25,1.0,3.38,4.0,3.0,2.88,1.88,4.0,2.0
11-9141.00,11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",69990.0,311180.0,0.5486401673640168,0.8303850156087409,0.6895125914863789,3.28,2.11,1.69,3.53,6.67,5.26,4.0,5.35,65.0,3.0,3.75,3.5,3.0,3.88,1.38,4.0,3.62,3.12,3.62,2.75,3.12,3.0,2.88,3.12,3.5,1.5,2.12,1.75,3.25,1.5,2.0,1.0,3.0,3.25,2.12,2.12,1.25,3.0,1.62
11-9151.00,11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",80390.0,209330.0,0.6673640167364017,0.7793964620187305,0.7233802393775661,1.0,2.17,2.43,5.43,6.97,4.21,4.0,6.307330733073307,82.41,3.88,3.88,3.88,2.62,3.75,2.25,3.75,3.75,3.88,3.88,3.5,3.88,2.62,2.38,3.88,3.25,2.0,2.62,2.12,3.25,1.75,2.0,1.0,4.0,4.0,3.75,3.75,1.88,3.88,1.5
