feature,role,reason
transferable_skill_management_of_material_resources_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_management_of_personnel_resources_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_management_of_personnel_resources_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_negotiation_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_negotiation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_operation_and_control_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_operation_and_control_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_operations_analysis_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_operations_analysis_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_operations_monitoring_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_operations_monitoring_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_persuasion_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_persuasion_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_programming_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_programming_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_quality_control_analysis_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_quality_control_analysis_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_repairing_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_repairing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_service_orientation_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_service_orientation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_social_perceptiveness_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_social_perceptiveness_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_systems_analysis_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_systems_analysis_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_systems_evaluation_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_systems_evaluation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_technology_design_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_technology_design_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_time_management_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_time_management_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_troubleshooting_im,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
transferable_skill_troubleshooting_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_administration_and_management_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_administration_and_management_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_administrative_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_administrative_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_biology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_biology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_building_and_construction_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_building_and_construction_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_chemistry_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_chemistry_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_communications_and_media_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_communications_and_media_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_computers_and_electronics_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_computers_and_electronics_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_customer_and_personal_service_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_customer_and_personal_service_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_design_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_design_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_economics_and_accounting_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_economics_and_accounting_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_education_and_training_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_education_and_training_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_engineering_and_technology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_engineering_and_technology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_english_language_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_english_language_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_fine_arts_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_fine_arts_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_food_production_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_food_production_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_foreign_language_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_foreign_language_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_geography_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_geography_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_history_and_archeology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_history_and_archeology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_law_and_government_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_law_and_government_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_mathematics_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_mathematics_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_mechanical_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_mechanical_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_medicine_and_dentistry_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_medicine_and_dentistry_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_personnel_and_human_resources_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_personnel_and_human_resources_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_philosophy_and_theology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_philosophy_and_theology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_physics_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_physics_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_production_and_processing_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_production_and_processing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_psychology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_psychology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_public_safety_and_security_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_public_safety_and_security_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_sales_and_marketing_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_sales_and_marketing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_sociology_and_anthropology_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_sociology_and_anthropology_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_telecommunications_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_telecommunications_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_therapy_and_counseling_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_therapy_and_counseling_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_transportation_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_transportation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_arm_hand_steadiness_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_arm_hand_steadiness_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_auditory_attention_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_auditory_attention_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_category_flexibility_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_category_flexibility_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_control_precision_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_control_precision_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_deductive_reasoning_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_deductive_reasoning_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_depth_perception_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_depth_perception_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_dynamic_flexibility_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_dynamic_flexibility_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_dynamic_strength_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_dynamic_strength_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_explosive_strength_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_explosive_strength_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_extent_flexibility_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_extent_flexibility_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_far_vision_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_far_vision_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_finger_dexterity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_finger_dexterity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_flexibility_of_closure_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_flexibility_of_closure_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_fluency_of_ideas_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_fluency_of_ideas_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_glare_sensitivity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_glare_sensitivity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_gross_body_coordination_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_gross_body_coordination_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_gross_body_equilibrium_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_gross_body_equilibrium_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_hearing_sensitivity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_hearing_sensitivity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_inductive_reasoning_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_inductive_reasoning_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_information_ordering_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_information_ordering_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_manual_dexterity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_manual_dexterity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_mathematical_reasoning_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_mathematical_reasoning_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_memorization_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_memorization_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_multilimb_coordination_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_multilimb_coordination_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_near_vision_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_near_vision_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_night_vision_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_night_vision_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_number_facility_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_number_facility_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_oral_comprehension_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_oral_comprehension_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_oral_expression_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_oral_expression_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_originality_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_originality_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_perceptual_speed_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_perceptual_speed_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_peripheral_vision_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_peripheral_vision_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_problem_sensitivity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_problem_sensitivity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_rate_control_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_rate_control_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_reaction_time_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_reaction_time_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_response_orientation_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_response_orientation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_selective_attention_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_selective_attention_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_sound_localization_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_sound_localization_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_spatial_orientation_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_spatial_orientation_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speech_clarity_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speech_clarity_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speech_recognition_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speech_recognition_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speed_of_closure_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speed_of_closure_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speed_of_limb_movement_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_speed_of_limb_movement_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_stamina_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_stamina_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_static_strength_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_static_strength_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_time_sharing_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_time_sharing_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_trunk_strength_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_trunk_strength_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_visual_color_discrimination_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_visual_color_discrimination_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_visualization_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_visualization_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_wrist_finger_speed_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_wrist_finger_speed_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_written_comprehension_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_written_comprehension_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_written_expression_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_written_expression_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_analyzing_data_or_information_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_analyzing_data_or_information_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_assisting_and_caring_for_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_assisting_and_caring_for_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_coaching_and_developing_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_coaching_and_developing_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_communicating_with_people_outside_the_organization_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_communicating_with_people_outside_the_organization_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_communicating_with_supervisors_peers_or_subordinates_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_communicating_with_supervisors_peers_or_subordinates_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_controlling_machines_and_processes_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_controlling_machines_and_processes_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_coordinating_the_work_and_activities_of_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_coordinating_the_work_and_activities_of_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_developing_and_building_teams_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_developing_and_building_teams_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_developing_objectives_and_strategies_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_developing_objectives_and_strategies_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_documenting_recording_information_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_documenting_recording_information_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_drafting_laying_out_and_specifying_technical_devices_parts_and_equipment_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_drafting_laying_out_and_specifying_technical_devices_parts_and_equipment_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
